Participant Code,Task Name,Duration
"5","xbox-t","308.27549600601196"
"5","xbox-m","37.1833975315094"
"5","xbox-d","189.32842111587524"
"5","GUI-t","204.41755557060242"
"5","GUI-m","76.63992428779602"
"5","GUI-d","188.13337659835815"
"5","hand-t","316.2131495475769"
"5","hand-m","169.75160837173462"
"5","hand-d","351.3899703025818"
